Place,Competitor,Time,NAT,WorldAthleticsId,100m,200m,300m,400m,500m,600m,700m,800m,900m,1000m,1100m,1200m,1300m,1400m,1500m
1,Faith Kipyegon,3:58.64,KEN,14413305,15.4,16.9,17.5,17.3,17.1,17.1,16.7,15.7,15.3,15.5,14.7,14.8,14.7,14.5,15.4
2,Georgia Hunter Bell,3:59.49,GBR,14329797,15.5,17.0,17.0,17.4,17.0,17.2,16.7,15.8,15.4,15.4,15.0,14.9,14.9,15.0,15.2
3,Elle St. Pierre,3:59.74,USA,14627694,15.5,16.7,17.5,17.2,17.1,17.2,16.9,15.7,15.4,15.3,14.9,14.8,14.7,15.1,15.7
4,Laura Muir,3:59.83,GBR,14422111,15.9,17.0,17.4,17.1,17.2,17.2,15.9,15.8,15.4,15.4,14.8,14.9,14.9,14.8,16.1
5,Klaudia Kazimierska,4:00.21,POL,14704467,15.3,17.0,17.4,17.2,17.1,17.2,17.0,15.7,15.5,15.2,15.2,15.1,14.8,15.0,15.5
6,Águeda Marqués,4:01.90,ESP,14691558,16.1,16.5,17.3,17.3,17.2,17.1,16.8,15.6,15.6,15.5,15.5,15.3,15.4,15.4,15.3
7,Esther Guerrero,4:01.94,ESP,14261358,15.5,16.9,17.5,17.3,17.0,17.1,17.0,15.8,15.4,15.4,15.4,15.4,15.3,15.4,15.5
8,Maia Ramsden,4:02.20,NZL,14733357,15.8,16.9,17.5,17.2,17.0,17.2,17.0,15.6,15.3,15.6,15.2,15.3,15.2,15.4,16.0
9,Georgia Griffith,4:02.69,AUS,14549778,15.2,16.8,17.4,17.2,17.1,17.2,16.9,15.6,15.5,15.4,15.2,15.1,14.9,15.7,17.4
10,Birke Haylom,4:03.11,ETH,15009582,15.3,17.1,17.4,17.3,16.8,17.4,16.6,15.7,15.4,15.5,15.0,15.2,15.4,16.3,16.7
11,Nelly Chepchirchir,4:03.24,KEN,14892139,15.2,16.8,17.4,17.2,17.1,17.2,16.8,15.7,15.4,15.4,15.0,15.0,15.1,16.1,17.8
12,Ludovica Cavalli,4:03.59,ITA,14752217,15.3,16.8,17.4,17.3,17.0,17.2,17.0,15.6,15.6,15.5,15.4,15.4,15.7,16.1,16.2
